index,drugbank_id
707,DB00834
708,DB00835
709,DB00836
710,DB00837
711,DB00838
712,DB00839
713,DB00841
714,DB00842
715,DB00843
716,DB00844
717,DB00845
718,DB00846
719,DB00847
720,DB00848
721,DB00849
722,DB00850
723,DB00851
724,DB00852
725,DB00853
726,DB00854
727,DB00855
728,DB00856
729,DB00857
730,DB00858
731,DB00859
732,DB00860
733,DB00861
734,DB00862
735,DB00863
736,DB00864
737,DB00865
738,DB00866
739,DB00867
740,DB00868
741,DB00869
742,DB00870
743,DB00871
744,DB00872
745,DB00873
746,DB00874
747,DB00875
748,DB00876
749,DB00877
750,DB00878
751,DB00879
752,DB00880
753,DB00881
754,DB00882
755,DB00883
756,DB00884
757,DB00885
758,DB00886
759,DB00887
760,DB00888
761,DB00889
762,DB00890
763,DB00891
764,DB00892
765,DB00894
766,DB00895
767,DB00896
768,DB00897
769,DB00898
770,DB00899
771,DB00900
772,DB00901
773,DB00902
774,DB00903
775,DB00904
776,DB00905
777,DB00906
778,DB00907
779,DB00908
780,DB00909
781,DB00910
782,DB00911
783,DB00912
784,DB00913
785,DB00914
786,DB00915
787,DB00916
788,DB00917
789,DB00918
790,DB00919
791,DB00920
792,DB00921
793,DB00922
794,DB00923
795,DB00924
796,DB00925
797,DB00926
798,DB00927
799,DB00928
800,DB00929
801,DB00931
802,DB00932
803,DB00933
804,DB00934
805,DB00935
806,DB00936
807,DB00937
808,DB00938
809,DB00939
810,DB00940
811,DB00941
812,DB00942
813,DB00943
814,DB00944
815,DB00945
816,DB00946
817,DB00947
818,DB00948
819,DB00949
820,DB00950
821,DB00951
822,DB00952
823,DB00953
824,DB00954
825,DB00955
826,DB00956
827,DB00957
828,DB00958
829,DB00959
830,DB00960
831,DB00961
832,DB00962
833,DB00963
834,DB00964
835,DB00966
836,DB00967
837,DB00968
838,DB00969
839,DB00970
840,DB00971
841,DB00972
842,DB00973
843,DB00974
844,DB00975
845,DB00976
846,DB00977
847,DB00978
848,DB00979
849,DB00980
850,DB00981
851,DB00982
852,DB00983
853,DB00984
854,DB00985
855,DB00986
856,DB00987
857,DB00988
858,DB00989
859,DB00990
860,DB00991
861,DB00992
862,DB00993
863,DB00995
864,DB00996
865,DB00997
866,DB00998
867,DB00999
868,DB01000
869,DB01001
870,DB01002
871,DB01003
872,DB01004
873,DB01005
874,DB01006
875,DB01007
876,DB01008
877,DB01009
878,DB01010
879,DB01011
880,DB01012
881,DB01013
882,DB01014
883,DB01015
884,DB01016
885,DB01017
886,DB01018
887,DB01019
888,DB01020
889,DB01021
890,DB01022
891,DB01023
892,DB01024
893,DB01025
894,DB01026
895,DB01028
896,DB01029
897,DB01030
898,DB01031
899,DB01032
900,DB01033
901,DB01034
902,DB01035
903,DB01036
904,DB01037
905,DB01038
906,DB01039
907,DB01041
908,DB01042
909,DB01043
910,DB01044
911,DB01045
912,DB01046
913,DB01047
914,DB01048
915,DB01050
916,DB01051
917,DB01053
918,DB01054
919,DB01055
920,DB01056
921,DB01057
922,DB01058
923,DB01059
924,DB01060
925,DB01061
926,DB01062
927,DB01063
928,DB01064
929,DB01065
930,DB01066
931,DB01067
932,DB01068
933,DB01069
934,DB01070
935,DB01071
936,DB01072
937,DB01073
938,DB01074
939,DB01075
940,DB01076
941,DB01077
942,DB01078
943,DB01079
944,DB01080
945,DB01081
946,DB01082
947,DB01083
948,DB01084
949,DB01085
950,DB01086
951,DB01087
952,DB01088
953,DB01089
954,DB01090
955,DB01091
956,DB01092
957,DB01093
958,DB01094
959,DB01095
960,DB01096
961,DB01097
962,DB01098
963,DB01099
964,DB01100
965,DB01101
966,DB01102
967,DB01103
968,DB01104
969,DB01105
970,DB01106
971,DB01107
972,DB01108
973,DB01110
974,DB01111
975,DB01112
976,DB01113
977,DB01114
978,DB01115
979,DB01116
980,DB01117
981,DB01118
982,DB01119
983,DB01120
984,DB01121
985,DB01122
986,DB01123
987,DB01124
988,DB01125
989,DB01126
990,DB01127
991,DB01128
992,DB01129
993,DB01130
994,DB01131
995,DB01132
996,DB01133
997,DB01134
998,DB01135
999,DB01136
1000,DB01137
1001,DB01138
1002,DB01139
1003,DB01140
1004,DB01141
1005,DB01142
1006,DB01143
1007,DB01144
1008,DB01145
1009,DB01146
1010,DB01147
1011,DB01148
1012,DB01149
1013,DB01150
1014,DB01151
1015,DB01152
1016,DB01153
1017,DB01154
1018,DB01155
1019,DB01156
1020,DB01157
1021,DB01158
1022,DB01159
1023,DB01160
1024,DB01161
1025,DB01162
1026,DB01163
1027,DB01164
1028,DB01165
1029,DB01166
1030,DB01167
1031,DB01168
1032,DB01169
